,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
6130,H,1.6666666666666667,1.6666666666666667,W,W,W,L,D,W,0.8333333333333334,0.6666666666666666,0.0,-8.0
6131,H,0.6666666666666666,2.1666666666666665,L,W,D,W,W,W,-1.0,1.1666666666666667,-1.5,5.0
6132,H,1.6666666666666667,1.1666666666666667,W,W,D,L,D,L,0.5,-0.16666666666666666,0.5,-12.0
6133,H,1.5,1.1666666666666667,L,L,W,W,L,W,0.3333333333333333,0.0,0.3333333333333333,4.0
6134,A,0.8333333333333334,1.8333333333333333,L,L,D,W,W,D,-0.3333333333333333,1.0,-1.0,17.0
6135,D,0.16666666666666666,1.1666666666666667,L,L,L,W,L,D,-1.8333333333333333,0.16666666666666666,-1.0,-5.0
6136,A,0.16666666666666666,1.1666666666666667,L,L,D,W,W,D,-1.0,0.3333333333333333,-1.0,2.0
6137,A,0.6666666666666666,2.5,L,D,L,W,W,W,-0.5,1.8333333333333333,-1.8333333333333333,8.0
6138,A,0.5,0.8333333333333334,L,L,L,W,L,D,-1.0,-0.3333333333333333,-0.3333333333333333,1.0
6139,H,0.6666666666666666,1.1666666666666667,L,D,L,W,W,L,-0.8333333333333334,0.16666666666666666,-0.5,7.0
6140,D,1.8571428571428568,1.4285714285714286,L,W,W,W,W,W,0.8571428571428571,0.42857142857142855,0.2857142857142857,-4.0
6141,A,1.0,1.4285714285714286,L,L,D,L,L,D,-0.7142857142857143,0.14285714285714285,-0.42857142857142855,10.0
6142,D,0.14285714285714285,1.1428571428571428,L,L,L,D,W,L,-1.0,0.14285714285714285,-0.5714285714285714,3.0
6143,A,0.5714285714285714,1.8571428571428568,L,L,D,W,W,W,-0.7142857142857143,1.0,-1.2857142857142858,4.0
6144,D,1.0,1.0,L,W,W,W,L,W,-0.14285714285714285,-0.7142857142857143,-0.14285714285714285,-3.0
6145,D,0.42857142857142855,0.7142857142857143,L,L,L,L,L,L,-1.2857142857142858,-0.42857142857142855,-0.14285714285714285,-13.0
6146,A,1.0,1.8571428571428568,W,L,D,W,W,W,-0.42857142857142855,1.1428571428571428,-0.8571428571428571,18.0
6147,D,1.0,1.1428571428571428,L,W,L,W,W,L,-0.42857142857142855,0.14285714285714285,0.0,-5.0
6148,D,1.7142857142857142,0.2857142857142857,W,L,L,D,L,L,0.7142857142857143,-1.5714285714285714,1.1428571428571428,-4.0
6149,H,2.0,2.571428571428572,W,W,W,W,W,W,1.0,1.8571428571428568,-0.2857142857142857,-1.0
6150,H,2.0,0.5,W,W,W,L,L,L,1.125,-0.75,1.75,-10.0
6151,H,1.0,0.875,D,W,L,L,L,L,-0.625,-0.875,0.875,-4.0
6152,H,1.625,1.0,W,L,L,D,L,W,0.375,-0.375,0.0,9.0
6153,A,1.375,0.5,D,W,W,D,L,L,0.375,-1.125,1.25,8.0
6154,D,2.25,1.75,L,W,W,D,L,W,1.375,0.75,0.25,-7.0
6155,H,0.375,0.25,D,D,L,D,L,L,-1.375,-0.875,0.0,-8.0
6156,D,1.125,2.125,D,D,W,W,W,W,0.125,1.125,-0.875,11.0
6157,A,0.75,1.0,D,L,L,D,L,W,-0.375,-0.125,-0.625,7.0
6158,H,1.125,0.875,D,W,W,L,W,L,0.125,-0.5,0.5,-14.0
6159,D,2.0,1.625,W,W,W,D,W,L,1.0,0.625,0.75,3.0
6160,D,2.1111111111111107,0.6666666666666666,W,W,W,L,D,L,1.1111111111111112,-0.4444444444444444,1.5555555555555556,-18.0
6161,D,1.2222222222222223,2.0,W,D,W,D,W,W,0.0,1.0,-0.3333333333333333,13.0
6162,H,0.7777777777777778,1.6666666666666667,L,L,W,D,D,L,-0.6666666666666666,0.6666666666666666,-0.4444444444444444,9.0
6163,A,0.7777777777777778,0.6666666666666666,L,L,L,W,D,D,-1.3333333333333333,-1.0,-0.4444444444444444,11.0
6164,H,0.8888888888888888,1.2222222222222223,L,D,L,L,D,W,-0.6666666666666666,0.2222222222222222,-0.6666666666666666,-14.0
6165,H,1.8888888888888888,1.1111111111111112,D,W,W,D,D,D,0.8888888888888888,0.1111111111111111,0.7777777777777778,-6.0
6166,D,0.4444444444444444,1.2222222222222223,L,L,L,W,D,L,-0.7777777777777778,0.0,-1.0,-1.0
6167,H,0.7777777777777778,0.2222222222222222,W,D,L,L,D,L,-0.8888888888888888,-1.0,0.3333333333333333,-10.0
6168,H,1.7777777777777777,1.5555555555555556,W,W,L,D,D,W,0.6666666666666666,0.5555555555555556,0.2222222222222222,5.0
6169,D,2.1111111111111107,1.3333333333333333,D,L,W,W,D,W,1.2222222222222223,0.3333333333333333,0.0,-2.0
6170,A,1.1,2.0,L,L,D,W,D,W,0.0,0.9,-0.6,7.0
6171,D,1.4,1.0,L,D,D,W,L,L,0.1,-0.5,-0.1,-15.0
6172,H,0.7,1.2,D,L,D,D,W,D,-0.4,0.0,-0.6,4.0
6173,A,0.2,2.0,L,L,D,D,W,W,-1.0,1.0,-1.2,15.0
6174,D,1.9,1.1,D,D,W,W,L,D,0.9,-0.4,0.4,2.0
6175,H,1.2,0.7,D,W,D,L,L,L,0.0,-1.4,0.8,-7.0
6176,A,1.0,2.0,L,D,D,D,D,L,0.0,1.1,-0.2,10.0
6177,H,1.5,1.0,L,D,D,W,W,D,0.5,-0.7,-0.2,4.0
6178,A,1.3,1.9,D,W,D,W,W,W,0.3,1.0,0.2,-4.0
6179,H,0.9,0.5,W,W,D,D,L,L,-0.7,-0.7,0.7,-3.0
6180,A,1.0909090909090908,0.18181818181818185,L,D,W,L,L,L,-0.18181818181818185,-1.181818181818182,0.6363636363636364,-1.0
6181,H,1.0,1.0,D,W,L,L,L,L,-0.4545454545454545,-0.18181818181818185,0.2727272727272727,5.0
